date,trades,volume_usd,gross_pnl,fees,net_pnl
2023-05-01,3,477.0,0.0,0.0,0.0
2023-12-05,9,50005.83,0.0,12.501455,-12.501455
2023-12-14,11,113203.35,-205.43473700000007,28.300831000000002,-233.73556800000003
2023-12-15,2,10609.95,-24.632033999999997,2.652489,-27.284523
2023-12-16,3,15348.77,0.0,3.8371890000000004,-3.8371890000000004
2023-12-17,14,116278.02,304.982785,29.069499,275.91328599999997
2023-12-18,2,31164.179999999997,0.0,7.791045,-7.791045
2023-12-19,15,91602.41,1000.5386120000001,22.900596,977.638016
2023-12-20,18,141636.79,162.732282,35.409187,127.323095
2023-12-21,49,125233.97,537.211402,31.308469,505.902933
2023-12-22,10,88874.28,141.832675,22.218566000000003,119.61410899999998
2023-12-23,13,78438.25,146.936704,19.609555,127.327149
2023-12-24,39,402954.94,1008.619956,100.738715,907.881241
2023-12-25,3,59948.51,-245.081348,14.987124999999999,-260.068473
2023-12-27,28,171411.06,-704.8892269999999,42.852747,-747.741974
2023-12-28,23,100117.25,-970.730876,25.0293,-995.760176
2023-12-29,50,569559.72,508.92214299999995,142.389901,366.532242
2023-12-30,52,702550.21,354.998648,175.637526,179.36112199999997
2024-01-01,18,264239.52999999997,-129.53146,66.059867,-195.59132699999998
2024-01-02,17,121348.74,783.979116,30.337176,753.64194
2024-01-03,67,394499.36,866.015507,98.624811,767.390696
2024-01-04,5,99792.54000000001,-67.60364,24.948132,-92.551772
2024-01-05,66,1703942.66,164.141565,425.985639,-261.844074
2024-01-06,22,298521.4,135.58166400000002,74.630342,60.95132200000004
2024-01-07,97,1048850.06,-835.681235,262.212464,-1097.893699
2024-01-08,128,1522452.43,-269.874439,380.613064,-650.4875030000002
2024-01-09,70,870051.97,-826.349863,204.012928,-1030.3627910000002
2024-01-10,193,2057479.48,-1517.091342,434.044865,-1951.136207
2024-01-11,21,305314.1,-164.08950099999998,75.867171,-239.95667199999997
2024-01-12,7,200082.27,-1925.519024,49.480726999999995,-1974.999751
2024-01-15,14,50636.1,152.85358,12.652712,140.200868
2024-01-16,9,116427.33,-2299.171458,17.319309,-2316.4907670000002
2024-01-17,53,800831.03,813.2741110000001,159.707606,653.566505
2024-01-18,46,424631.52999999997,68.93319,92.657901,-23.724710999999996
2024-01-19,48,428428.97,-385.419235,93.051868,-478.471103
2024-01-20,106,1070090.51,-146.57487000000003,267.522583,-414.097453
2024-01-21,11,103129.74,266.58114600000005,25.78243,240.79871599999998
2024-01-22,85,337878.99,1375.640959,67.478268,1308.162691
2024-01-23,45,414518.93000000005,-369.2447299999998,85.72457,-454.96929999999986
2024-01-24,68,965084.59,-2808.353815,227.771095,-3036.12491
2024-01-25,6,66566.13,-3093.6293849999997,16.641532,-3110.270917
2024-01-26,5,11773.21,90.2,0.444235,89.755765
2024-01-28,11,18109.03,-2478.06972,-0.362176,-2477.707544
2024-01-29,74,414208.18,486.562542,103.26260500000001,383.299937
2024-01-30,49,401011.38,-173.65419100000003,100.25281,-273.90700100000004
2024-01-31,859,6305647.13,-799.840817,1549.411475,-2349.252292
2024-02-01,6,2008.18,0.0,0.5020439999999999,-0.5020439999999999
2024-02-02,42,474278.43,456.423473,91.569636,364.853837
2024-02-03,56,603820.0,223.30918699999998,109.662349,113.64683800000003
2024-02-04,35,203187.53,47.62389499999999,50.52688,-2.9029850000000166
2024-02-05,72,770198.26,-33.45419400000003,165.549465,-199.00365900000008
2024-02-06,1088,8047153.41,-215.615907,988.606997,-1204.222904
2024-02-07,15,6758.73,241.24212,0.339693,240.902427
2024-02-08,10,26051.12,770.756024,3.0028870000000003,767.7531369999999
2024-02-11,34,212311.82,983.443176,24.955292,958.487884
2024-02-12,16,227247.69999999998,913.8817869999998,27.111911,886.7698759999998
2024-02-13,14,1999.99,559.44389,-0.039992,559.483882
2024-02-14,111,320839.88,3830.599833,22.917474000000002,3807.682359
2024-02-15,63,185188.04,1840.797677,30.706297,1810.09138
2024-02-16,182,564896.51,5491.768834,27.22517,5464.543664
2024-02-17,94,406118.07,1929.6418,62.055053,1867.586747
2024-02-18,97,157048.17,477.6248299999999,-3.140925,480.7657549999999
2024-02-19,101,286377.2,4317.768563,14.85262,4302.915943
2024-02-20,39,119419.72,3263.628824,3.073675,3260.555149
2024-02-21,22,108047.51999999999,1858.7985700000002,2.970629,1855.827941
2024-02-22,88,373033.87,3894.1050699999996,25.45258,3868.6524899999995
2024-02-23,143,111106.14,1418.55293,-2.067069,1420.619999
2024-02-25,5,4480.13,-30.7705,-0.0896,-30.6809
2024-02-26,39,192187.14,4416.8473,-0.09772499999999981,4416.945025
2024-02-27,63,209362.3,888.511733,-3.761609,892.2733420000001
2024-02-28,45,171107.13,2503.747235,-1.377152,2505.124387
2024-02-29,116,395666.73,9813.996992,1.3590849999999999,9812.637907
2024-03-01,137,472974.7,8244.241409,-0.546854,8244.788263
2024-03-02,31,63197.56,230.90060000000005,-0.4691290000000001,231.36972899999995
2024-03-03,79,390745.68,8361.086245,-2.507103,8363.593348
2024-03-04,300,1577996.87,27799.775742,-0.559449,27800.335191
2024-03-05,180,841810.32,19791.026041,-4.438459,19795.464500000002
2024-03-06,82,327218.02,6814.825139,-3.355318,6818.1804569999995
2024-03-08,67,183583.18,4271.886236,-3.6716290000000003,4275.557865
2024-03-09,117,658178.75,9949.501624,1.8517640000000002,9947.64986
2024-03-10,42,219973.85,2482.9272,2.281072,2480.646128
2024-03-11,42,176519.44999999998,3588.179495,8.47289,3579.7066050000003
2024-03-12,8,103040.85,3039.166,4.945953,3034.220047
