date,trades,accounts,coins,volume_usd,gross_pnl,fees,net_pnl,win_rate,value,classification,sentiment_bucket
2023-05-01,3,1,1,477.0,0.0,0.0,0.0,0.0,63.0,Greed,"(48.0, 67.0]"
2023-12-05,9,1,2,50005.83,0.0,12.501455,-12.501455,0.0,75.0,Extreme Greed,"(74.0, 94.0]"
2023-12-14,11,1,4,113203.35,-205.43473700000007,28.300831000000002,-233.73556800000003,0.36363636363636365,72.0,Greed,"(67.0, 74.0]"
2023-12-15,2,1,1,10609.95,-24.632033999999997,2.652489,-27.284523,0.0,70.0,Greed,"(67.0, 74.0]"
2023-12-16,3,1,1,15348.77,0.0,3.8371890000000004,-3.8371890000000004,0.0,67.0,Greed,"(48.0, 67.0]"
2023-12-17,14,1,3,116278.02,304.982785,29.069499,275.91328599999997,0.5,73.0,Greed,"(67.0, 74.0]"
2023-12-18,2,1,1,31164.179999999997,0.0,7.791045,-7.791045,0.0,65.0,Greed,"(48.0, 67.0]"
2023-12-19,15,1,2,91602.41,1000.5386120000001,22.900596,977.638016,0.6666666666666666,73.0,Greed,"(67.0, 74.0]"
2023-12-20,18,1,2,141636.79,162.732282,35.409187,127.323095,0.4444444444444444,74.0,Greed,"(67.0, 74.0]"
2023-12-21,49,1,1,125233.97,537.211402,31.308469,505.902933,0.5306122448979592,70.0,Greed,"(67.0, 74.0]"
2023-12-22,10,1,2,88874.28,141.832675,22.218566000000003,119.61410899999998,0.2,74.0,Greed,"(67.0, 74.0]"
2023-12-23,13,1,2,78438.25,146.936704,19.609555,127.327149,0.6153846153846154,70.0,Greed,"(67.0, 74.0]"
2023-12-24,39,1,4,402954.94,1008.619956,100.738715,907.881241,0.38461538461538464,71.0,Greed,"(67.0, 74.0]"
2023-12-25,3,1,1,59948.51,-245.081348,14.987124999999999,-260.068473,0.0,73.0,Greed,"(67.0, 74.0]"
2023-12-27,28,1,2,171411.06,-704.8892269999999,42.852747,-747.741974,0.14285714285714285,73.0,Greed,"(67.0, 74.0]"
2023-12-28,23,1,2,100117.25,-970.730876,25.0293,-995.760176,0.0,73.0,Greed,"(67.0, 74.0]"
2023-12-29,50,1,4,569559.72,508.92214299999995,142.389901,366.532242,0.3,65.0,Greed,"(48.0, 67.0]"
2023-12-30,52,1,3,702550.21,354.998648,175.637526,179.36112199999997,0.4423076923076923,68.0,Greed,"(67.0, 74.0]"
2024-01-01,18,1,3,264239.52999999997,-129.53146,66.059867,-195.59132699999998,0.05555555555555555,65.0,Greed,"(48.0, 67.0]"
2024-01-02,17,1,2,121348.74,783.979116,30.337176,753.64194,0.47058823529411764,71.0,Greed,"(67.0, 74.0]"
2024-01-03,67,1,6,394499.36,866.015507,98.624811,767.390696,0.417910447761194,70.0,Greed,"(67.0, 74.0]"
2024-01-04,5,1,1,99792.54000000001,-67.60364,24.948132,-92.551772,0.0,68.0,Greed,"(67.0, 74.0]"
2024-01-05,66,1,2,1703942.66,164.141565,425.985639,-261.844074,0.19696969696969696,72.0,Greed,"(67.0, 74.0]"
2024-01-06,22,1,3,298521.4,135.58166400000002,74.630342,60.95132200000004,0.45454545454545453,70.0,Greed,"(67.0, 74.0]"
2024-01-07,97,1,8,1048850.06,-835.681235,262.212464,-1097.893699,0.09278350515463918,71.0,Greed,"(67.0, 74.0]"
2024-01-08,128,1,6,1522452.43,-269.874439,380.613064,-650.4875030000002,0.25,71.0,Greed,"(67.0, 74.0]"
2024-01-09,70,1,6,870051.97,-826.349863,204.012928,-1030.3627910000002,0.2571428571428571,76.0,Extreme Greed,"(74.0, 94.0]"
2024-01-10,193,1,5,2057479.48,-1517.091342,434.044865,-1951.136207,0.21243523316062177,73.0,Greed,"(67.0, 74.0]"
2024-01-11,21,2,3,305314.1,-164.08950099999998,75.867171,-239.95667199999997,0.23809523809523808,76.0,Extreme Greed,"(74.0, 94.0]"
2024-01-12,7,1,2,200082.27,-1925.519024,49.480726999999995,-1974.999751,0.0,71.0,Greed,"(67.0, 74.0]"
2024-01-15,14,2,2,50636.1,152.85358,12.652712,140.200868,0.6428571428571429,52.0,Neutral,"(48.0, 67.0]"
2024-01-16,9,2,3,116427.33,-2299.171458,17.319309,-2316.4907670000002,0.3333333333333333,64.0,Greed,"(48.0, 67.0]"
2024-01-17,53,1,2,800831.03,813.2741110000001,159.707606,653.566505,0.20754716981132076,60.0,Greed,"(48.0, 67.0]"
2024-01-18,46,1,2,424631.52999999997,68.93319,92.657901,-23.724710999999996,0.06521739130434782,63.0,Greed,"(48.0, 67.0]"
2024-01-19,48,2,3,428428.97,-385.419235,93.051868,-478.471103,0.125,51.0,Neutral,"(48.0, 67.0]"
2024-01-20,106,1,16,1070090.51,-146.57487000000003,267.522583,-414.097453,0.14150943396226415,52.0,Neutral,"(48.0, 67.0]"
2024-01-21,11,1,4,103129.74,266.58114600000005,25.78243,240.79871599999998,0.2727272727272727,56.0,Greed,"(48.0, 67.0]"
