classification,coin_day_obs,profitable_share,avg_coin_day_pnl
,1,1.0,42463.481926
Fear,945,0.5714285714285714,3454.7073999659733
Extreme Fear,271,0.44280442804428044,2639.194149633259
Extreme Greed,1479,0.6957403651115619,1817.5393138660243
Neutral,778,0.5758354755784062,1611.2421686968241
Greed,1599,0.5384615384615384,1305.2098692756922
