Coin,trades,active_days,volume_usd,gross_pnl,fees,net_pnl,net_pnl_per_1k_volume
@6,1,1,0.03,0.0,0.0,0.0,0.0
@45,1,1,0.54,0.0,0.0,0.0,0.0
@46,3,2,0.5700000000000001,0.0,0.0,0.0,0.0
@7,1,1,0.03,0.0,0.0,0.0,0.0
@48,1,1,0.68,0.0,0.0,0.0,0.0
@44,3,3,0.77,0.0,0.0,0.0,0.0
@61,1,1,0.62,0.0,0.0,0.0,0.0
@86,1,1,10.17,0.0,0.00020994,-0.00020994,-0.02064306784660767
@12,3,3,8.91,0.0,0.002989,-0.002989,-0.3354657687991021
@68,1,1,10.09,0.0,0.00314588,-0.00314588,-0.3117819623389495
@24,3,2,2.71,-0.002936,0.0009090000000000001,-0.003845,-1.418819188191882
@16,4,3,35.9,-0.060429,0.012048999999999999,-0.072478,-2.0188857938718665
@10,4,3,37.31,-0.063484,0.012517,-0.076001,-2.037014205306888
@29,6,3,23.73,-0.078374,0.007962,-0.086336,-3.638263801095659
@13,3,2,52.86000000000001,-0.12379,0.017757000000000002,-0.141547,-2.6777714718123344
@26,10,3,24.62,-0.25801799999999997,0.008246,-0.266264,-10.814947197400487
@78,15,3,6550.37,0.0,0.48189234,-0.48189234,-0.0735671939142369
@23,34,3,5218.84,0.0,1.10649763,-1.10649763,-0.21201984157398962
MERL,2,1,96.53,-3.17364,0.020469,-3.1941089999999996,-33.089288304154145
@3,23,5,575.81,0.462514,4.421376,-3.958862,-6.875292197078898
@116,5,5,11.85,1.722949,5.784013,-4.061064,-342.70582278481015
@123,163,2,400024.33,0.0,4.20183797,-4.20183797,-0.010503956021874969
@152,88,1,59831.5,0.599998,5.743726,-5.143728,-0.08597023307120832
IOTA,7,1,12495.93,-2.454844,4.373569,-6.828413,-0.5464509644340197
ENS,4,1,20014.59,-7.121359999999999,5.003645,-12.125005,-0.6058083128357863
BNT,10,1,5828.41,-17.60528,2.039937,-19.645217000000002,-3.3705962689652926
@63,2,2,59.95,-20.663546,0.02052089,-20.68406689,-345.02196647206
MNT,8,4,1340.22,-21.057177,0.46907299999999996,-21.526249999999997,-16.06172867141215
